{x=89,m=520,a=174,s=541}
{x=30,m=424,a=3199,s=923}
{x=423,m=857,a=369,s=790}
{x=359,m=68,a=2444,s=1261}
{x=3093,m=1500,a=1156,s=43}
{x=364,m=404,a=101,s=2199}
{x=2577,m=1996,a=755,s=1079}
{x=378,m=617,a=29,s=806}
{x=49,m=2648,a=908,s=128}
{x=729,m=369,a=1375,s=704}
{x=1416,m=366,a=1456,s=120}
{x=391,m=322,a=2694,s=121}
{x=64,m=382,a=304,s=98}
{x=273,m=1002,a=2602,s=1822}
{x=1050,m=759,a=199,s=1176}
{x=25,m=1872,a=786,s=388}
{x=569,m=338,a=1155,s=1363}
{x=958,m=1929,a=1814,s=1343}
{x=1060,m=2622,a=112,s=65}
{x=546,m=42,a=2568,s=853}
{x=237,m=51,a=72,s=1}
{x=1842,m=2545,a=1193,s=1871}
{x=2377,m=1476,a=332,s=1384}
{x=33,m=1396,a=3151,s=2220}
{x=636,m=20,a=591,s=31}
{x=139,m=726,a=69,s=2461}
{x=2060,m=42,a=1385,s=2382}
{x=473,m=332,a=176,s=1216}
{x=138,m=656,a=103,s=1107}
{x=1115,m=367,a=770,s=28}
{x=1168,m=799,a=2312,s=1518}
{x=1588,m=2503,a=882,s=2558}
{x=851,m=52,a=2175,s=2201}
{x=197,m=1371,a=1198,s=1699}
{x=338,m=2291,a=1507,s=1974}
{x=43,m=228,a=278,s=274}
{x=2587,m=2466,a=1934,s=3409}
{x=2144,m=436,a=2292,s=252}
{x=335,m=652,a=228,s=3012}
{x=872,m=1438,a=189,s=350}
{x=2323,m=155,a=1286,s=778}
{x=2068,m=361,a=572,s=664}
{x=270,m=79,a=4,s=131}
{x=774,m=167,a=9,s=1832}
{x=1101,m=3157,a=907,s=37}
{x=466,m=1645,a=2533,s=369}
{x=2398,m=1693,a=2858,s=2202}
{x=85,m=1218,a=286,s=1675}
{x=2298,m=2213,a=377,s=200}
{x=24,m=482,a=685,s=829}
{x=2514,m=1339,a=1924,s=3013}
{x=576,m=1012,a=974,s=59}
{x=96,m=112,a=516,s=2329}
{x=976,m=305,a=485,s=611}
{x=312,m=139,a=1383,s=2125}
{x=887,m=1017,a=659,s=2186}
{x=2324,m=11,a=1477,s=2333}
{x=2758,m=2436,a=569,s=1237}
{x=1678,m=2968,a=3212,s=1090}
{x=5,m=3,a=27,s=927}
{x=2561,m=417,a=220,s=647}
{x=1221,m=2518,a=18,s=73}
{x=412,m=2325,a=903,s=1318}
{x=466,m=813,a=12,s=1426}
{x=29,m=246,a=496,s=71}
{x=850,m=578,a=319,s=1484}
{x=1830,m=1120,a=699,s=563}
{x=2204,m=2146,a=886,s=3121}
{x=848,m=1910,a=688,s=621}
{x=191,m=1850,a=366,s=425}
{x=101,m=1227,a=1496,s=2009}
{x=12,m=1219,a=1554,s=2567}
{x=1213,m=3025,a=1089,s=2054}
{x=1612,m=2342,a=3036,s=117}
{x=12,m=773,a=604,s=869}
{x=705,m=479,a=2054,s=562}
{x=1607,m=592,a=2544,s=2729}
{x=784,m=1269,a=111,s=2345}
{x=1598,m=274,a=622,s=2786}
{x=295,m=844,a=680,s=1219}
{x=108,m=1725,a=1488,s=255}
{x=2400,m=347,a=942,s=1775}
{x=360,m=42,a=2943,s=344}
{x=1827,m=539,a=112,s=1453}
{x=2856,m=930,a=818,s=1406}
{x=248,m=2192,a=322,s=642}
{x=67,m=162,a=2009,s=2941}
{x=353,m=3317,a=333,s=2225}
{x=1563,m=988,a=1286,s=363}
{x=491,m=152,a=597,s=2620}
{x=379,m=3015,a=1815,s=306}
{x=65,m=1581,a=509,s=2685}
{x=311,m=381,a=756,s=1323}
{x=2718,m=192,a=2053,s=1199}
{x=897,m=550,a=454,s=262}
{x=1531,m=661,a=49,s=74}
{x=594,m=756,a=1713,s=549}
{x=2020,m=262,a=485,s=375}
{x=743,m=2756,a=1194,s=962}
{x=1936,m=1217,a=327,s=1162}
{x=844,m=513,a=1304,s=1169}
{x=22,m=1878,a=965,s=1934}
{x=1395,m=1355,a=392,s=1661}
{x=270,m=193,a=183,s=1315}
{x=3256,m=135,a=1559,s=807}
{x=1719,m=2899,a=964,s=2031}
{x=1130,m=474,a=1646,s=797}
{x=2017,m=1772,a=18,s=1095}
{x=1965,m=2413,a=61,s=1661}
{x=1435,m=335,a=591,s=704}
{x=1191,m=607,a=2197,s=3712}
{x=2111,m=119,a=171,s=126}
{x=2566,m=28,a=1141,s=1775}
{x=726,m=72,a=234,s=1696}
{x=123,m=1326,a=2023,s=1526}
{x=156,m=1480,a=1070,s=58}
{x=1569,m=312,a=641,s=2999}
{x=1761,m=121,a=3078,s=1875}
{x=1048,m=367,a=386,s=1836}
{x=120,m=1029,a=998,s=1290}
{x=344,m=348,a=1823,s=1192}
{x=958,m=1562,a=1596,s=381}
{x=1017,m=578,a=121,s=1240}
{x=814,m=1233,a=2285,s=1863}
{x=2758,m=3147,a=1234,s=833}
{x=907,m=324,a=1,s=192}
{x=407,m=823,a=2607,s=215}
{x=2777,m=90,a=1344,s=2606}
{x=1623,m=1603,a=1612,s=194}
